stage, 1, 2, 3, 
scenario, 1, 2, 3, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 100.0, 33.980582524271846, 0.0, 
y[1], 100.0, 133.98058252427185, 133.98058252427185, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 0.0, 0.0, 
y[2], 0.0, 0.0, 0.0, 
total, 179.04000000000002

stage, 1, 2, 3, 
scenario, 1, 2, 4, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 130.18867924528303, 0.0, 
y[2], 0.0, 130.188679245283, 130.188679245283, 
total, 166.61999999999998

stage, 1, 2, 3, 
scenario, 1, 2, 5, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 100.0, 33.980582524271846, 0.0, 
y[1], 100.0, 133.98058252427185, 133.98058252427185, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 0.0, 0.0, 
y[2], 0.0, 0.0, 0.0, 
total, 170.76000000000002

stage, 1, 2, 3, 
scenario, 1, 2, 6, 
B, 0.0, 0.0, 36.9, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 130.18867924528303, 0.0, 
y[2], 0.0, 130.188679245283, 130.188679245283, 
total, 166.61999999999998

stage, 1, 2, 3, 
scenario, 1, 7, 8, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 0.0, 125.24271844660194, 0.0, 
y[1], 0.0, 125.24271844660194, 125.24271844660194, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 100.0, -100.0, 0.0, 
y[2], 100.0, 0.0, 0.0, 
total, 169.32

stage, 1, 2, 3, 
scenario, 1, 7, 9, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 1.03, 1.0609, 
x[1], 0.0, 0.0, 0.0, 
y[1], 0.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 100.0, 37.23404255319149, 0.0, 
y[2], 100.0, 137.2340425531915, 137.2340425531915, 
total, 157.71

stage, 1, 2, 3, 
scenario, 1, 7, 10, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 0.0, 125.24271844660194, 0.0, 
y[1], 0.0, 125.24271844660194, 125.24271844660194, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 100.0, -100.0, 0.0, 
y[2], 100.0, 0.0, 0.0, 
total, 161.57999999999998

stage, 1, 2, 3, 
scenario, 1, 7, 11, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 1.03, 0.9991, 
x[1], 0.0, 0.0, 0.0, 
y[1], 0.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 100.0, 37.23404255319149, 0.0, 
y[2], 100.0, 137.2340425531915, 137.2340425531915, 
total, 157.71

stage, 1, 2, 3, 
scenario, 1, 12, 13, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 100.0, 36.08247422680412, 0.0, 
y[1], 100.0, 136.08247422680412, 136.08247422680412, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 0.0, 0.0, 
y[2], 0.0, 0.0, 0.0, 
total, 172.56

stage, 1, 2, 3, 
scenario, 1, 12, 14, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 124.52830188679245, 0.0, 
y[2], 0.0, 124.52830188679243, 124.52830188679243, 
total, 160.67999999999998

stage, 1, 2, 3, 
scenario, 1, 12, 15, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 100.0, 36.08247422680412, 0.0, 
y[1], 100.0, 136.08247422680412, 136.08247422680412, 
π[2], 1.0, 1.06, 1.1236000000000002, 
x[2], 0.0, 0.0, 0.0, 
y[2], 0.0, 0.0, 0.0, 
total, 164.64

stage, 1, 2, 3, 
scenario, 1, 12, 16, 
B, 0.0, 0.0, 36.6, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 100.0, -100.0, 0.0, 
y[1], 100.0, 0.0, 0.0, 
π[2], 1.0, 1.06, 0.9964, 
x[2], 0.0, 124.52830188679245, 0.0, 
y[2], 0.0, 124.52830188679243, 124.52830188679243, 
total, 160.67999999999998

stage, 1, 2, 3, 
scenario, 1, 17, 18, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 0.0, 132.98969072164948, 0.0, 
y[1], 0.0, 132.9896907216495, 132.9896907216495, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 100.0, -100.0, 0.0, 
y[2], 100.0, 0.0, 0.0, 
total, 169.32000000000005

stage, 1, 2, 3, 
scenario, 1, 17, 19, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 0.97, 0.9991, 
x[1], 0.0, 0.0, 0.0, 
y[1], 0.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 100.0, 37.23404255319149, 0.0, 
y[2], 100.0, 137.2340425531915, 137.2340425531915, 
total, 157.71

stage, 1, 2, 3, 
scenario, 1, 17, 20, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 0.0, 132.98969072164948, 0.0, 
y[1], 0.0, 132.9896907216495, 132.9896907216495, 
π[2], 1.0, 0.94, 0.9964, 
x[2], 100.0, -100.0, 0.0, 
y[2], 100.0, 0.0, 0.0, 
total, 161.58000000000004

stage, 1, 2, 3, 
scenario, 1, 17, 21, 
B, 0.0, 0.0, 36.45, 
π[1], 1.0, 0.97, 0.9409, 
x[1], 0.0, 0.0, 0.0, 
y[1], 0.0, 0.0, 0.0, 
π[2], 1.0, 0.94, 0.8835999999999999, 
x[2], 100.0, 37.23404255319149, 0.0, 
y[2], 100.0, 137.2340425531915, 137.2340425531915, 
total, 157.71

upper bound, 179.04
lower bound, 164.64
